"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
1,58,29.2758620689655,11.742549864232,26,28.4583333333333,9.6369,5,60,55,0.693555409702047,-0.18096330612812,1.54187233534972
2,58,20.448275862069,6.90835348345679,20,20.2708333333333,7.413,3,41,38,0.291713472279581,0.256683897712897,0.90711125284675
